eta, f, f_linha, f_duas_linhas
3.8100, 2.125445, 0.941915, 0.079281
3.8200, 2.134868, 0.942704, 0.078441
3.8300, 2.144299, 0.943484, 0.077606
3.8400, 2.153738, 0.944256, 0.076777
3.8500, 2.163184, 0.945019, 0.075953
3.8600, 2.172638, 0.945775, 0.075134
3.8700, 2.182100, 0.946522, 0.074320
3.8800, 2.191569, 0.947261, 0.073512
3.8900, 2.201045, 0.947992, 0.072709
3.9000, 2.210528, 0.948716, 0.071912
3.9100, 2.220019, 0.949431, 0.071120
3.9200, 2.229517, 0.950138, 0.070333
3.9300, 2.239022, 0.950837, 0.069551
3.9400, 2.248534, 0.951529, 0.068776
3.9500, 2.258052, 0.952213, 0.068005
3.9600, 2.267578, 0.952889, 0.067240
3.9700, 2.277110, 0.953558, 0.066480
3.9800, 2.286649, 0.954219, 0.065726
3.9900, 2.296195, 0.954872, 0.064977
4.0000, 2.305747, 0.955518, 0.064234
4.0100, 2.315305, 0.956157, 0.063496
4.0200, 2.324870, 0.956788, 0.062764
4.0300, 2.334441, 0.957412, 0.062037
4.0400, 2.344018, 0.958029, 0.061316
4.0500, 2.353601, 0.958639, 0.060600
4.0600, 2.363191, 0.959241, 0.059889
4.0700, 2.372786, 0.959836, 0.059185
4.0800, 2.382387, 0.960425, 0.058485
4.0900, 2.391994, 0.961006, 0.057791
4.1000, 2.401607, 0.961581, 0.057103
4.1100, 2.411226, 0.962148, 0.056420
4.1200, 2.420850, 0.962709, 0.055742
4.1300, 2.430480, 0.963263, 0.055070
4.1400, 2.440116, 0.963810, 0.054404
4.1500, 2.449756, 0.964351, 0.053743
4.1600, 2.459403, 0.964885, 0.053087
4.1700, 2.469054, 0.965413, 0.052437
4.1800, 2.478711, 0.965934, 0.051793
4.1900, 2.488373, 0.966449, 0.051153
4.2000, 2.498040, 0.966957, 0.050520
4.2100, 2.507712, 0.967459, 0.049891
4.2200, 2.517389, 0.967955, 0.049269
4.2300, 2.527071, 0.968445, 0.048651
4.2400, 2.536758, 0.968928, 0.048039
4.2500, 2.546449, 0.969405, 0.047433
4.2600, 2.556146, 0.969877, 0.046831
4.2700, 2.565847, 0.970342, 0.046235
4.2800, 2.575553, 0.970801, 0.045645
4.2900, 2.585263, 0.971255, 0.045060
4.3000, 2.594978, 0.971703, 0.044480
4.3100, 2.604697, 0.972145, 0.043906
4.3200, 2.614421, 0.972581, 0.043336
4.3300, 2.624149, 0.973011, 0.042773
4.3400, 2.633881, 0.973436, 0.042214
4.3500, 2.643617, 0.973856, 0.041661
4.3600, 2.653358, 0.974269, 0.041113
4.3700, 2.663103, 0.974678, 0.040570
4.3800, 2.672852, 0.975081, 0.040032
4.3900, 2.682604, 0.975479, 0.039500
4.4000, 2.692361, 0.975871, 0.038973
4.4100, 2.702122, 0.976258, 0.038451
4.4200, 2.711886, 0.976640, 0.037934
4.4300, 2.721654, 0.977017, 0.037422
4.4400, 2.731427, 0.977388, 0.036915
4.4500, 2.741202, 0.977755, 0.036414
4.4600, 2.750982, 0.978117, 0.035917
4.4700, 2.760765, 0.978473, 0.035425
4.4800, 2.770551, 0.978825, 0.034939
4.4900, 2.780341, 0.979172, 0.034457
4.5000, 2.790134, 0.979514, 0.033981
4.5100, 2.799931, 0.979852, 0.033509
4.5200, 2.809731, 0.980185, 0.033043
4.5300, 2.819535, 0.980513, 0.032581
4.5400, 2.829342, 0.980836, 0.032124
4.5500, 2.839152, 0.981155, 0.031672
4.5600, 2.848965, 0.981470, 0.031225
4.5700, 2.858781, 0.981780, 0.030782
4.5800, 2.868600, 0.982085, 0.030345
4.5900, 2.878423, 0.982387, 0.029912
4.6000, 2.888248, 0.982684, 0.029484
4.6100, 2.898076, 0.982976, 0.029060
4.6200, 2.907908, 0.983265, 0.028642
4.6300, 2.917742, 0.983549, 0.028227
4.6400, 2.927579, 0.983829, 0.027818
4.6500, 2.937418, 0.984105, 0.027413
4.6600, 2.947261, 0.984378, 0.027013
4.6700, 2.957106, 0.984646, 0.026617
4.6800, 2.966954, 0.984910, 0.026226
4.6900, 2.976804, 0.985170, 0.025839
4.7000, 2.986657, 0.985427, 0.025456
4.7100, 2.996513, 0.985679, 0.025078
4.7200, 3.006371, 0.985928, 0.024705
4.7300, 3.016231, 0.986174, 0.024336
4.7400, 3.026094, 0.986415, 0.023971
4.7500, 3.035959, 0.986653, 0.023610
4.7600, 3.045827, 0.986887, 0.023254
4.7700, 3.055697, 0.987118, 0.022902
4.7800, 3.065569, 0.987345, 0.022554
4.7900, 3.075444, 0.987569, 0.022211
4.8000, 3.085321, 0.987790, 0.021871
4.8100, 3.095200, 0.988007, 0.021536
4.8200, 3.105081, 0.988220, 0.021205
4.8300, 3.114964, 0.988431, 0.020877
4.8400, 3.124850, 0.988638, 0.020554
4.8500, 3.134737, 0.988842, 0.020235
4.8600, 3.144626, 0.989043, 0.019920
4.8700, 3.154518, 0.989240, 0.019609
4.8800, 3.164411, 0.989435, 0.019301
4.8900, 3.174306, 0.989626, 0.018998
4.9000, 3.184204, 0.989815, 0.018698
4.9100, 3.194103, 0.990000, 0.018403
4.9200, 3.204004, 0.990183, 0.018110
4.9300, 3.213906, 0.990362, 0.017822
4.9400, 3.223811, 0.990539, 0.017538
4.9500, 3.233717, 0.990713, 0.017257
4.9600, 3.243625, 0.990884, 0.016980
4.9700, 3.253535, 0.991053, 0.016706
4.9800, 3.263446, 0.991219, 0.016436
4.9900, 3.273359, 0.991382, 0.016170
5.0000, 3.283274, 0.991542, 0.015907
5.0100, 3.293190, 0.991700, 0.015647
5.0200, 3.303108, 0.991855, 0.015391
5.0300, 3.313027, 0.992008, 0.015139
5.0400, 3.322948, 0.992158, 0.014890
5.0500, 3.332870, 0.992305, 0.014644
5.0600, 3.342794, 0.992451, 0.014402
5.0700, 3.352719, 0.992593, 0.014163
5.0800, 3.362646, 0.992734, 0.013927
5.0900, 3.372574, 0.992872, 0.013694
5.1000, 3.382503, 0.993008, 0.013465
5.1100, 3.392434, 0.993141, 0.013239
5.1200, 3.402366, 0.993273, 0.013016
5.1300, 3.412300, 0.993402, 0.012796
5.1400, 3.422234, 0.993528, 0.012579
5.1500, 3.432170, 0.993653, 0.012366
5.1600, 3.442107, 0.993776, 0.012155
5.1700, 3.452046, 0.993896, 0.011947
5.1800, 3.461985, 0.994015, 0.011742
5.1900, 3.471926, 0.994131, 0.011541
5.2000, 3.481868, 0.994246, 0.011342
5.2100, 3.491811, 0.994358, 0.011146
5.2200, 3.501755, 0.994468, 0.010953
5.2300, 3.511700, 0.994577, 0.010762
5.2400, 3.521646, 0.994684, 0.010575
5.2500, 3.531594, 0.994789, 0.010390
5.2600, 3.541542, 0.994892, 0.010208
5.2700, 3.551492, 0.994993, 0.010028
5.2800, 3.561442, 0.995092, 0.009852
5.2900, 3.571393, 0.995190, 0.009677
5.3000, 3.581346, 0.995286, 0.009506
5.3100, 3.591299, 0.995380, 0.009337
5.3200, 3.601253, 0.995472, 0.009171
5.3300, 3.611209, 0.995563, 0.009007
5.3400, 3.621165, 0.995653, 0.008845
5.3500, 3.631122, 0.995740, 0.008686
5.3600, 3.641080, 0.995826, 0.008530
5.3700, 3.651038, 0.995911, 0.008376
5.3800, 3.660998, 0.995994, 0.008224
5.3900, 3.670958, 0.996075, 0.008075
5.4000, 3.680919, 0.996155, 0.007928
5.4100, 3.690881, 0.996234, 0.007783
5.4200, 3.700844, 0.996311, 0.007640
5.4300, 3.710807, 0.996387, 0.007500
5.4400, 3.720772, 0.996461, 0.007362
5.4500, 3.730737, 0.996534, 0.007226
5.4600, 3.740702, 0.996606, 0.007092
5.4700, 3.750669, 0.996676, 0.006961
5.4800, 3.760636, 0.996745, 0.006831
5.4900, 3.770604, 0.996812, 0.006704
5.5000, 3.780572, 0.996879, 0.006579
5.5100, 3.790541, 0.996944, 0.006455
5.5200, 3.800511, 0.997008, 0.006334
5.5300, 3.810481, 0.997071, 0.006215
5.5400, 3.820452, 0.997132, 0.006097
5.5500, 3.830424, 0.997193, 0.005982
5.5600, 3.840396, 0.997252, 0.005868
5.5700, 3.850369, 0.997310, 0.005756
5.5800, 3.860342, 0.997367, 0.005646
5.5900, 3.870316, 0.997423, 0.005538
5.6000, 3.880291, 0.997478, 0.005432
5.6100, 3.890266, 0.997532, 0.005327
5.6200, 3.900241, 0.997584, 0.005225
5.6300, 3.910218, 0.997636, 0.005124
5.6400, 3.920194, 0.997687, 0.005024
5.6500, 3.930171, 0.997737, 0.004927
5.6600, 3.940149, 0.997785, 0.004831
5.6700, 3.950127, 0.997833, 0.004736
5.6800, 3.960106, 0.997880, 0.004644
5.6900, 3.970085, 0.997926, 0.004552
5.7000, 3.980064, 0.997971, 0.004463
5.7100, 3.990044, 0.998015, 0.004375
5.7200, 4.000024, 0.998059, 0.004288
5.7300, 4.010005, 0.998101, 0.004203
5.7400, 4.019986, 0.998143, 0.004120
5.7500, 4.029968, 0.998184, 0.004038
5.7600, 4.039950, 0.998223, 0.003957
5.7700, 4.049933, 0.998263, 0.003878
5.7800, 4.059915, 0.998301, 0.003800
5.7900, 4.069899, 0.998339, 0.003724
5.8000, 4.079882, 0.998376, 0.003648
5.8100, 4.089866, 0.998412, 0.003575
5.8200, 4.099850, 0.998447, 0.003502
5.8300, 4.109835, 0.998482, 0.003431
5.8400, 4.119820, 0.998516, 0.003361
5.8500, 4.129805, 0.998549, 0.003293
5.8600, 4.139791, 0.998582, 0.003225
5.8700, 4.149777, 0.998613, 0.003159
5.8800, 4.159763, 0.998645, 0.003094
5.8900, 4.169750, 0.998675, 0.003030
5.9000, 4.179737, 0.998705, 0.002968
5.9100, 4.189724, 0.998735, 0.002906
5.9200, 4.199711, 0.998763, 0.002846
5.9300, 4.209699, 0.998792, 0.002787
5.9400, 4.219687, 0.998819, 0.002729
5.9500, 4.229676, 0.998846, 0.002672
5.9600, 4.239664, 0.998873, 0.002616
5.9700, 4.249653, 0.998898, 0.002561
5.9800, 4.259642, 0.998924, 0.002507
5.9900, 4.269631, 0.998949, 0.002454
6.0000, 4.279621, 0.998973, 0.002402
6.0100, 4.289611, 0.998997, 0.002351
6.0200, 4.299601, 0.999020, 0.002301
6.0300, 4.309591, 0.999043, 0.002252
6.0400, 4.319582, 0.999065, 0.002204
6.0500, 4.329573, 0.999087, 0.002157
6.0600, 4.339564, 0.999108, 0.002111
6.0700, 4.349555, 0.999129, 0.002065
6.0800, 4.359546, 0.999149, 0.002021
6.0900, 4.369538, 0.999169, 0.001977
6.1000, 4.379530, 0.999189, 0.001934
6.1100, 4.389522, 0.999208, 0.001893
6.1200, 4.399514, 0.999227, 0.001851
6.1300, 4.409506, 0.999245, 0.001811
6.1400, 4.419499, 0.999263, 0.001772
6.1500, 4.429491, 0.999281, 0.001733
6.1600, 4.439484, 0.999298, 0.001695
6.1700, 4.449477, 0.999314, 0.001658
6.1800, 4.459471, 0.999331, 0.001621
6.1900, 4.469464, 0.999347, 0.001585
6.2000, 4.479457, 0.999363, 0.001550
6.2100, 4.489451, 0.999378, 0.001516
6.2200, 4.499445, 0.999393, 0.001482
6.2300, 4.509439, 0.999408, 0.001449
6.2400, 4.519433, 0.999422, 0.001417
6.2500, 4.529427, 0.999436, 0.001385
6.2600, 4.539422, 0.999450, 0.001354
6.2700, 4.549416, 0.999463, 0.001324
6.2800, 4.559411, 0.999476, 0.001294
6.2900, 4.569406, 0.999489, 0.001265
6.3000, 4.579401, 0.999501, 0.001236
6.3100, 4.589396, 0.999514, 0.001208
6.3200, 4.599391, 0.999526, 0.001181
6.3300, 4.609387, 0.999537, 0.001154
6.3400, 4.619382, 0.999549, 0.001127
6.3500, 4.629377, 0.999560, 0.001102
6.3600, 4.639373, 0.999571, 0.001076
6.3700, 4.649369, 0.999581, 0.001052
6.3800, 4.659365, 0.999592, 0.001027
6.3900, 4.669361, 0.999602, 0.001004
6.4000, 4.679357, 0.999612, 0.000981
6.4100, 4.689353, 0.999621, 0.000958
6.4200, 4.699349, 0.999631, 0.000936
6.4300, 4.709346, 0.999640, 0.000914
6.4400, 4.719342, 0.999649, 0.000893
6.4500, 4.729339, 0.999658, 0.000872
6.4600, 4.739335, 0.999667, 0.000851
6.4700, 4.749332, 0.999675, 0.000831
6.4800, 4.759329, 0.999683, 0.000812
6.4900, 4.769326, 0.999691, 0.000793
6.5000, 4.779323, 0.999699, 0.000774
6.5100, 4.789320, 0.999707, 0.000756
6.5200, 4.799317, 0.999714, 0.000738
6.5300, 4.809314, 0.999722, 0.000720
6.5400, 4.819311, 0.999729, 0.000703
6.5500, 4.829308, 0.999736, 0.000686
6.5600, 4.839306, 0.999742, 0.000670
6.5700, 4.849303, 0.999749, 0.000654
6.5800, 4.859301, 0.999755, 0.000638
6.5900, 4.869298, 0.999762, 0.000623
6.6000, 4.879296, 0.999768, 0.000608
6.6100, 4.889294, 0.999774, 0.000593
