x y f
2.8636 -0.9646 -9.8590
2.9091 -0.9646 -10.1182
2.9545 -0.9646 -10.3815
3.0000 -0.9646 -10.6490
3.0455 -0.9646 -10.9205
3.0909 -0.9646 -11.1963
3.1364 -0.9646 -11.4761
3.1818 -0.9646 -11.7601
3.2273 -0.9646 -12.0482
3.2727 -0.9646 -12.3404
3.3182 -0.9646 -12.6368
3.3636 -0.9646 -12.9373
3.4091 -0.9646 -13.2419
3.4545 -0.9646 -13.5507
3.5000 -0.9646 -13.8636
-1.0000 -0.9293 -2.8686
-0.9545 -0.9293 -2.7733
-0.9091 -0.9293 -2.6822
-0.8636 -0.9293 -2.5952
-0.8182 -0.9293 -2.5123
-0.7727 -0.9293 -2.4336
-0.7273 -0.9293 -2.3589
-0.6818 -0.9293 -2.2885
-0.6364 -0.9293 -2.2221
-0.5909 -0.9293 -2.1599
-0.5455 -0.9293 -2.1018
-0.5000 -0.9293 -2.0479
-0.4545 -0.9293 -1.9981
-0.4091 -0.9293 -1.9524
-0.3636 -0.9293 -1.9108
-0.3182 -0.9293 -1.8734
-0.2727 -0.9293 -1.8401
-0.2273 -0.9293 -1.8110
-0.1818 -0.9293 -1.7859
-0.1364 -0.9293 -1.7650
-0.0909 -0.9293 -1.7483
-0.0455 -0.9293 -1.7357
0.0000 -0.9293 -1.7272
0.0455 -0.9293 -1.7228
0.0909 -0.9293 -1.7226
0.1364 -0.9293 -1.7265
0.1818 -0.9293 -1.7345
0.2273 -0.9293 -1.7467
0.2727 -0.9293 -1.7630
0.3182 -0.9293 -1.7834
0.3636 -0.9293 -1.8080
0.4091 -0.9293 -1.8367
0.4545 -0.9293 -1.8695
0.5000 -0.9293 -1.9065
0.5455 -0.9293 -1.9476
0.5909 -0.9293 -1.9928
0.6364 -0.9293 -2.0421
0.6818 -0.9293 -2.0956
0.7273 -0.9293 -2.1532
0.7727 -0.9293 -2.2150
0.8182 -0.9293 -2.2809
0.8636 -0.9293 -2.3509
0.9091 -0.9293 -2.4251
0.9545 -0.9293 -2.5033
1.0000 -0.9293 -2.5858
1.0455 -0.9293 -2.6723
1.0909 -0.9293 -2.7630
1.1364 -0.9293 -2.8578
1.1818 -0.9293 -2.9567
1.2273 -0.9293 -3.0598
1.2727 -0.9293 -3.1670
1.3182 -0.9293 -3.2784
1.3636 -0.9293 -3.3938
1.4091 -0.9293 -3.5134
1.4545 -0.9293 -3.6372
1.5000 -0.9293 -3.7650
1.5455 -0.9293 -3.8971
1.5909 -0.9293 -4.0332
1.6364 -0.9293 -4.1735
1.6818 -0.9293 -4.3179
1.7273 -0.9293 -4.4664
1.7727 -0.9293 -4.6190
1.8182 -0.9293 -4.7758
1.8636 -0.9293 -4.9368
1.9091 -0.9293 -5.1018
1.9545 -0.9293 -5.2710
2.0000 -0.9293 -5.4443
2.0455 -0.9293 -5.6218
2.0909 -0.9293 -5.8034
2.1364 -0.9293 -5.9891
2.1818 -0.9293 -6.1790
2.2273 -0.9293 -6.3729
2.2727 -0.9293 -6.5711
2.3182 -0.9293 -6.7733
2.3636 -0.9293 -6.9797
2.4091 -0.9293 -7.1902
2.4545 -0.9293 -7.4049
2.5000 -0.9293 -7.6236
2.5455 -0.9293 -7.8465
2.5909 -0.9293 -8.0736
2.6364 -0.9293 -8.3048
